sentid	condition	contextid	pairid	comparison	lemma	sentence	ROI
133	obj_rel_across_anim	133	67	expected	placeholder	die Berater  die die Wächter mögen  sind alt	8
134	obj_rel_across_anim	134	67	unexpected	placeholder	die Berater  die die Wächter mögen  ist alt	8
135	obj_rel_across_anim	135	68	expected	placeholder	die Berater  die die Wächter mögen  sind klein	8
136	obj_rel_across_anim	136	68	unexpected	placeholder	die Berater  die die Wächter mögen  ist klein	8
137	obj_rel_across_anim	137	69	expected	placeholder	die Berater  die die Wächter mögen  sind jung	8
138	obj_rel_across_anim	138	69	unexpected	placeholder	die Berater  die die Wächter mögen  ist jung	8
139	obj_rel_across_anim	139	70	expected	placeholder	die Berater  die die Wächter mögen  sind groß	8
140	obj_rel_across_anim	140	70	unexpected	placeholder	die Berater  die die Wächter mögen  ist groß	8
141	obj_rel_across_anim	141	71	expected	placeholder	die Schriftsteller  die die Minister mögen  schwimmen	7
142	obj_rel_across_anim	142	71	unexpected	placeholder	die Schriftsteller  die die Minister mögen  schwimmt	7
143	obj_rel_across_anim	143	72	expected	placeholder	die Schriftsteller  die die Minister mögen  lachen	7
144	obj_rel_across_anim	144	72	unexpected	placeholder	die Schriftsteller  die die Minister mögen  lacht	7
145	obj_rel_across_anim	145	73	expected	placeholder	die Schriftsteller  die die Minister mögen  sprechen	7
146	obj_rel_across_anim	146	73	unexpected	placeholder	die Schriftsteller  die die Minister mögen  spricht	7
147	obj_rel_across_anim	147	74	expected	placeholder	die Schriftsteller  die die Minister mögen  sind alt	8
148	obj_rel_across_anim	148	74	unexpected	placeholder	die Schriftsteller  die die Minister mögen  ist alt	8
149	obj_rel_across_anim	149	75	expected	placeholder	die Schriftsteller  die die Minister mögen  sind klein	8
150	obj_rel_across_anim	150	75	unexpected	placeholder	die Schriftsteller  die die Minister mögen  ist klein	8
151	obj_rel_across_anim	151	76	expected	placeholder	die Schriftsteller  die die Minister mögen  sind jung	8
152	obj_rel_across_anim	152	76	unexpected	placeholder	die Schriftsteller  die die Minister mögen  ist jung	8
153	obj_rel_across_anim	153	77	expected	placeholder	die Schriftsteller  die die Minister mögen  sind groß	8
154	obj_rel_across_anim	154	77	unexpected	placeholder	die Schriftsteller  die die Minister mögen  ist groß	8
155	obj_rel_across_anim	155	78	expected	placeholder	die Direktoren  die die Minister mögen  schwimmen	7
156	obj_rel_across_anim	156	78	unexpected	placeholder	die Direktoren  die die Minister mögen  schwimmt	7
157	obj_rel_across_anim	157	79	expected	placeholder	die Direktoren  die die Minister mögen  lachen	7
158	obj_rel_across_anim	158	79	unexpected	placeholder	die Direktoren  die die Minister mögen  lacht	7
159	obj_rel_across_anim	159	80	expected	placeholder	die Direktoren  die die Minister mögen  sprechen	7
160	obj_rel_across_anim	160	80	unexpected	placeholder	die Direktoren  die die Minister mögen  spricht	7
161	obj_rel_across_anim	161	81	expected	placeholder	die Direktoren  die die Minister mögen  sind alt	8
162	obj_rel_across_anim	162	81	unexpected	placeholder	die Direktoren  die die Minister mögen  ist alt	8
163	obj_rel_across_anim	163	82	expected	placeholder	die Direktoren  die die Minister mögen  sind klein	8
164	obj_rel_across_anim	164	82	unexpected	placeholder	die Direktoren  die die Minister mögen  ist klein	8
165	obj_rel_across_anim	165	83	expected	placeholder	die Direktoren  die die Minister mögen  sind jung	8
166	obj_rel_across_anim	166	83	unexpected	placeholder	die Direktoren  die die Minister mögen  ist jung	8
167	obj_rel_across_anim	167	84	expected	placeholder	die Direktoren  die die Minister mögen  sind groß	8
168	obj_rel_across_anim	168	84	unexpected	placeholder	die Direktoren  die die Minister mögen  ist groß	8
169	obj_rel_across_anim	169	85	expected	placeholder	die Bauern  die die Minister mögen  schwimmen	7
170	obj_rel_across_anim	170	85	unexpected	placeholder	die Bauern  die die Minister mögen  schwimmt	7
171	obj_rel_across_anim	171	86	expected	placeholder	die Bauern  die die Minister mögen  lachen	7
172	obj_rel_across_anim	172	86	unexpected	placeholder	die Bauern  die die Minister mögen  lacht	7
173	obj_rel_across_anim	173	87	expected	placeholder	die Bauern  die die Minister mögen  sprechen	7
174	obj_rel_across_anim	174	87	unexpected	placeholder	die Bauern  die die Minister mögen  spricht	7
175	obj_rel_across_anim	175	88	expected	placeholder	die Bauern  die die Minister mögen  sind alt	8
176	obj_rel_across_anim	176	88	unexpected	placeholder	die Bauern  die die Minister mögen  ist alt	8
177	obj_rel_across_anim	177	89	expected	placeholder	die Bauern  die die Minister mögen  sind klein	8
178	obj_rel_across_anim	178	89	unexpected	placeholder	die Bauern  die die Minister mögen  ist klein	8
179	obj_rel_across_anim	179	90	expected	placeholder	die Bauern  die die Minister mögen  sind jung	8
180	obj_rel_across_anim	180	90	unexpected	placeholder	die Bauern  die die Minister mögen  ist jung	8
181	obj_rel_across_anim	181	91	expected	placeholder	die Bauern  die die Minister mögen  sind groß	8
182	obj_rel_across_anim	182	91	unexpected	placeholder	die Bauern  die die Minister mögen  ist groß	8
183	obj_rel_across_anim	183	92	expected	placeholder	die Chirurgen  die die Minister mögen  schwimmen	7
184	obj_rel_across_anim	184	92	unexpected	placeholder	die Chirurgen  die die Minister mögen  schwimmt	7
185	obj_rel_across_anim	185	93	expected	placeholder	die Chirurgen  die die Minister mögen  lachen	7
186	obj_rel_across_anim	186	93	unexpected	placeholder	die Chirurgen  die die Minister mögen  lacht	7
187	obj_rel_across_anim	187	94	expected	placeholder	die Chirurgen  die die Minister mögen  sprechen	7
188	obj_rel_across_anim	188	94	unexpected	placeholder	die Chirurgen  die die Minister mögen  spricht	7
189	obj_rel_across_anim	189	95	expected	placeholder	die Chirurgen  die die Minister mögen  sind alt	8
190	obj_rel_across_anim	190	95	unexpected	placeholder	die Chirurgen  die die Minister mögen  ist alt	8
191	obj_rel_across_anim	191	96	expected	placeholder	die Chirurgen  die die Minister mögen  sind klein	8
192	obj_rel_across_anim	192	96	unexpected	placeholder	die Chirurgen  die die Minister mögen  ist klein	8
193	obj_rel_across_anim	193	97	expected	placeholder	die Chirurgen  die die Minister mögen  sind jung	8
194	obj_rel_across_anim	194	97	unexpected	placeholder	die Chirurgen  die die Minister mögen  ist jung	8
195	obj_rel_across_anim	195	98	expected	placeholder	die Chirurgen  die die Minister mögen  sind groß	8
196	obj_rel_across_anim	196	98	unexpected	placeholder	die Chirurgen  die die Minister mögen  ist groß	8
197	obj_rel_across_anim	197	99	expected	placeholder	die Senatoren  die die Minister mögen  schwimmen	7
198	obj_rel_across_anim	198	99	unexpected	placeholder	die Senatoren  die die Minister mögen  schwimmt	7
199	obj_rel_across_anim	199	100	expected	placeholder	die Senatoren  die die Minister mögen  lachen	7
200	obj_rel_across_anim	200	100	unexpected	placeholder	die Senatoren  die die Minister mögen  lacht	7
201	obj_rel_across_anim	201	101	expected	placeholder	die Senatoren  die die Minister mögen  sprechen	7
202	obj_rel_across_anim	202	101	unexpected	placeholder	die Senatoren  die die Minister mögen  spricht	7
203	obj_rel_across_anim	203	102	expected	placeholder	die Senatoren  die die Minister mögen  sind alt	8
204	obj_rel_across_anim	204	102	unexpected	placeholder	die Senatoren  die die Minister mögen  ist alt	8
205	obj_rel_across_anim	205	103	expected	placeholder	die Senatoren  die die Minister mögen  sind klein	8
206	obj_rel_across_anim	206	103	unexpected	placeholder	die Senatoren  die die Minister mögen  ist klein	8
207	obj_rel_across_anim	207	104	expected	placeholder	die Senatoren  die die Minister mögen  sind jung	8
208	obj_rel_across_anim	208	104	unexpected	placeholder	die Senatoren  die die Minister mögen  ist jung	8
209	obj_rel_across_anim	209	105	expected	placeholder	die Senatoren  die die Minister mögen  sind groß	8
210	obj_rel_across_anim	210	105	unexpected	placeholder	die Senatoren  die die Minister mögen  ist groß	8
211	obj_rel_across_anim	211	106	expected	placeholder	die Lehrer  die die Minister mögen  schwimmen	7
212	obj_rel_across_anim	212	106	unexpected	placeholder	die Lehrer  die die Minister mögen  schwimmt	7
213	obj_rel_across_anim	213	107	expected	placeholder	die Lehrer  die die Minister mögen  lachen	7
214	obj_rel_across_anim	214	107	unexpected	placeholder	die Lehrer  die die Minister mögen  lacht	7
215	obj_rel_across_anim	215	108	expected	placeholder	die Lehrer  die die Minister mögen  sprechen	7
216	obj_rel_across_anim	216	108	unexpected	placeholder	die Lehrer  die die Minister mögen  spricht	7
217	obj_rel_across_anim	217	109	expected	placeholder	die Lehrer  die die Minister mögen  sind alt	8
218	obj_rel_across_anim	218	109	unexpected	placeholder	die Lehrer  die die Minister mögen  ist alt	8
219	obj_rel_across_anim	219	110	expected	placeholder	die Lehrer  die die Minister mögen  sind klein	8
220	obj_rel_across_anim	220	110	unexpected	placeholder	die Lehrer  die die Minister mögen  ist klein	8
221	obj_rel_across_anim	221	111	expected	placeholder	die Lehrer  die die Minister mögen  sind jung	8
222	obj_rel_across_anim	222	111	unexpected	placeholder	die Lehrer  die die Minister mögen  ist jung	8
223	obj_rel_across_anim	223	112	expected	placeholder	die Lehrer  die die Minister mögen  sind groß	8
224	obj_rel_across_anim	224	112	unexpected	placeholder	die Lehrer  die die Minister mögen  ist groß	8
225	obj_rel_across_anim	225	113	expected	placeholder	die Kunden  die die Minister mögen  schwimmen	7
226	obj_rel_across_anim	226	113	unexpected	placeholder	die Kunden  die die Minister mögen  schwimmt	7
227	obj_rel_across_anim	227	114	expected	placeholder	die Kunden  die die Minister mögen  lachen	7
228	obj_rel_across_anim	228	114	unexpected	placeholder	die Kunden  die die Minister mögen  lacht	7
229	obj_rel_across_anim	229	115	expected	placeholder	die Kunden  die die Minister mögen  sprechen	7
230	obj_rel_across_anim	230	115	unexpected	placeholder	die Kunden  die die Minister mögen  spricht	7
231	obj_rel_across_anim	231	116	expected	placeholder	die Kunden  die die Minister mögen  sind alt	8
232	obj_rel_across_anim	232	116	unexpected	placeholder	die Kunden  die die Minister mögen  ist alt	8
233	obj_rel_across_anim	233	117	expected	placeholder	die Kunden  die die Minister mögen  sind klein	8
234	obj_rel_across_anim	234	117	unexpected	placeholder	die Kunden  die die Minister mögen  ist klein	8
235	obj_rel_across_anim	235	118	expected	placeholder	die Kunden  die die Minister mögen  sind jung	8
236	obj_rel_across_anim	236	118	unexpected	placeholder	die Kunden  die die Minister mögen  ist jung	8
237	obj_rel_across_anim	237	119	expected	placeholder	die Kunden  die die Minister mögen  sind groß	8
238	obj_rel_across_anim	238	119	unexpected	placeholder	die Kunden  die die Minister mögen  ist groß	8
239	obj_rel_across_anim	239	120	expected	placeholder	die Polizisten  die die Minister mögen  schwimmen	7
240	obj_rel_across_anim	240	120	unexpected	placeholder	die Polizisten  die die Minister mögen  schwimmt	7
241	obj_rel_across_anim	241	121	expected	placeholder	die Polizisten  die die Minister mögen  lachen	7
242	obj_rel_across_anim	242	121	unexpected	placeholder	die Polizisten  die die Minister mögen  lacht	7
243	obj_rel_across_anim	243	122	expected	placeholder	die Polizisten  die die Minister mögen  sprechen	7
244	obj_rel_across_anim	244	122	unexpected	placeholder	die Polizisten  die die Minister mögen  spricht	7
245	obj_rel_across_anim	245	123	expected	placeholder	die Polizisten  die die Minister mögen  sind alt	8
246	obj_rel_across_anim	246	123	unexpected	placeholder	die Polizisten  die die Minister mögen  ist alt	8
247	obj_rel_across_anim	247	124	expected	placeholder	die Polizisten  die die Minister mögen  sind klein	8
248	obj_rel_across_anim	248	124	unexpected	placeholder	die Polizisten  die die Minister mögen  ist klein	8
249	obj_rel_across_anim	249	125	expected	placeholder	die Polizisten  die die Minister mögen  sind jung	8
250	obj_rel_across_anim	250	125	unexpected	placeholder	die Polizisten  die die Minister mögen  ist jung	8
251	obj_rel_across_anim	251	126	expected	placeholder	die Polizisten  die die Minister mögen  sind groß	8
252	obj_rel_across_anim	252	126	unexpected	placeholder	die Polizisten  die die Minister mögen  ist groß	8
253	obj_rel_across_anim	253	127	expected	placeholder	die Piloten  die die Minister mögen  schwimmen	7
254	obj_rel_across_anim	254	127	unexpected	placeholder	die Piloten  die die Minister mögen  schwimmt	7
255	obj_rel_across_anim	255	128	expected	placeholder	die Piloten  die die Minister mögen  lachen	7
256	obj_rel_across_anim	256	128	unexpected	placeholder	die Piloten  die die Minister mögen  lacht	7
257	obj_rel_across_anim	257	129	expected	placeholder	die Piloten  die die Minister mögen  sprechen	7
258	obj_rel_across_anim	258	129	unexpected	placeholder	die Piloten  die die Minister mögen  spricht	7
259	obj_rel_across_anim	259	130	expected	placeholder	die Piloten  die die Minister mögen  sind alt	8
260	obj_rel_across_anim	260	130	unexpected	placeholder	die Piloten  die die Minister mögen  ist alt	8
261	obj_rel_across_anim	261	131	expected	placeholder	die Piloten  die die Minister mögen  sind klein	8
262	obj_rel_across_anim	262	131	unexpected	placeholder	die Piloten  die die Minister mögen  ist klein	8
263	obj_rel_across_anim	263	132	expected	placeholder	die Piloten  die die Minister mögen  sind jung	8
264	obj_rel_across_anim	264	132	unexpected	placeholder	die Piloten  die die Minister mögen  ist jung	8
265	obj_rel_across_anim	265	133	expected	placeholder	die Piloten  die die Minister mögen  sind groß	8
266	obj_rel_across_anim	266	133	unexpected	placeholder	die Piloten  die die Minister mögen  ist groß	8
267	obj_rel_across_anim	267	134	expected	placeholder	die Berater  die die Minister mögen  schwimmen	7
268	obj_rel_across_anim	268	134	unexpected	placeholder	die Berater  die die Minister mögen  schwimmt	7
269	obj_rel_across_anim	269	135	expected	placeholder	die Berater  die die Minister mögen  lachen	7
270	obj_rel_across_anim	270	135	unexpected	placeholder	die Berater  die die Minister mögen  lacht	7
271	obj_rel_across_anim	271	136	expected	placeholder	die Berater  die die Minister mögen  sprechen	7
272	obj_rel_across_anim	272	136	unexpected	placeholder	die Berater  die die Minister mögen  spricht	7
273	obj_rel_across_anim	273	137	expected	placeholder	die Berater  die die Minister mögen  sind alt	8
274	obj_rel_across_anim	274	137	unexpected	placeholder	die Berater  die die Minister mögen  ist alt	8
275	obj_rel_across_anim	275	138	expected	placeholder	die Berater  die die Minister mögen  sind klein	8
276	obj_rel_across_anim	276	138	unexpected	placeholder	die Berater  die die Minister mögen  ist klein	8
277	obj_rel_across_anim	277	139	expected	placeholder	die Berater  die die Minister mögen  sind jung	8
278	obj_rel_across_anim	278	139	unexpected	placeholder	die Berater  die die Minister mögen  ist jung	8
279	obj_rel_across_anim	279	140	expected	placeholder	die Berater  die die Minister mögen  sind groß	8
280	obj_rel_across_anim	280	140	unexpected	placeholder	die Berater  die die Minister mögen  ist groß	8
281	obj_rel_across_anim	281	141	expected	placeholder	die Schriftsteller  die die Leiter mögen  schwimmen	7
282	obj_rel_across_anim	282	141	unexpected	placeholder	die Schriftsteller  die die Leiter mögen  schwimmt	7
